"","wavelength","abs","trans","p_ref","p_sam","eb","0_mM","0.1_mM","0.2_mM","0.4_mM","0.5_mM","0.6_mM","0.8_mM","1.0_mM","2.0_mM","4.0_mM","5.0_mM","6.0_mM","8.0_mM","10.0_mM"
"65",464,0.357083744003348,0.439456867812925,0.155794,0.0684647432640469,71.4167488006696,0.000601796581514652,0.00597681049701787,0.0130733490274079,0.027752405908424,0.0366116387040405,0.0429834492229685,0.0561168301026665,0.0707086301175072,0.137872348699953,0.267242336005558,0.322467849007909,0.381569172490323,0.478728881561457,0.551416689101696
"66",465,0.356545190759986,0.44000216077806,0.15769,0.0693839407330922,71.3090381519972,-0.00134210896952356,0.00776702227858861,0.0157028564064141,0.0279545589175565,0.0351717488302741,0.0414388120763813,0.0573626090365899,0.0711195200320427,0.135733233316745,0.262655953856369,0.3242651285694,0.378328169806895,0.472418760377041,0.546410872556734
"67",466,0.355923052808128,0.440632926812242,0.159586,0.0703188462582585,71.1846105616256,-0.000675038837069941,0.00863735326965257,0.0151414839054637,0.028211462434812,0.0369613988337132,0.0443112681219189,0.0575071567992934,0.0701409503416777,0.138045882759853,0.264755162331843,0.323902626025319,0.377929334381623,0.474197111008041,0.553125295353783
"68",467,0.355218945449652,0.441347889899423,0.161482,0.0712697399567386,71.0437890899304,-0.000481531589910012,0.00760062164663982,0.0144601038345456,0.0290144032689371,0.0333613491836681,0.0420038157157283,0.0562794213749838,0.0705676364070226,0.135156049292853,0.264202671212047,0.321310031186149,0.376770394037413,0.476704425757125,0.545928786795399
"69",468,0.354434554999342,0.442145739983502,0.163378,0.0722368867070246,70.8869109998684,0.000954529710076025,0.00716488737733482,0.0128598876979562,0.0277369978118388,0.0354345682005795,0.0411520127389758,0.0577331118607584,0.0683296154322976,0.13720758908506,0.26104661817453,0.320307795201301,0.373614916168857,0.47215852347703,0.550568321630174
"70",469,0.353571635091363,0.443025133285786,0.165274,0.073220535878675,70.7143270182726,-0.000498397244015129,0.00676233708791575,0.0146683824236282,0.027280965252046,0.0350035858899784,0.0414256169121193,0.0559514240887104,0.0685509463426147,0.13577352048482,0.264504041685588,0.31934529043072,0.374311280638077,0.46689790950249,0.543590495639644
"71",470,0.352632002880974,0.44398469265505,0.16717,0.0742209210711447,70.5264005761947,0.000490929864666485,0.0076934453295353,0.0136279378506329,0.027184478029534,0.034882204111216,0.0402364422110018,0.0541959153149715,0.0686883424509246,0.137164533185837,0.256712649073241,0.314511420801033,0.37145038055819,0.468751874091699,0.54106933538233
"72",471,0.351617535152459,0.445023007957421,0.169173,0.0752858773251807,70.3235070304918,-0.000506528103663678,0.0050345647176793,0.0138365302831937,0.029079351019786,0.0347748510517521,0.0425434991689976,0.0550296128309756,0.0692631335339439,0.134333527580737,0.26212078314789,0.321996166438327,0.37270351931443,0.465599096054218,0.540399391335568
"73",472,0.350530164344618,0.446138636512955,0.171176,0.0763682272437416,70.1060328689236,0.00125937635121923,0.00653520514425022,0.0137499131626868,0.0297141024491196,0.0354152608191152,0.0413695846878745,0.0541063945484763,0.0686603062914964,0.13685947260583,0.261150827847052,0.318694419388846,0.372919943456224,0.46403766189589,0.545108906089325
"74",473,0.349371874505438,0.447330103585359,0.173179,0.0774681800088089,69.8743749010876,-0.000939486133292786,0.00581464573593647,0.0145929956771475,0.0277465033044326,0.0368403591694272,0.041268317581119,0.056324818034216,0.0697093918432345,0.136702195274515,0.258195873546767,0.315988267548951,0.371235098683915,0.462631642171264,0.54013975968699
"75",474,0.348144697187891,0.448595902930804,0.175182,0.078585927467224,69.6289394375783,-0.00101803042610129,0.00675513305286838,0.0148400680690511,0.0268853767644303,0.034039198545733,0.0403371455037301,0.0549927865852958,0.0681404754260017,0.134500636522303,0.261366177829783,0.311962671580189,0.366560912039314,0.458542626039079,0.538199554158143
"76",475,0.346850707299041,0.449934497411235,0.177185,0.0797216439238097,69.3701414598083,-0.000942652830628262,0.00420914300794518,0.014295604563288,0.0266198221183204,0.0348379143170836,0.0411993910195777,0.0564905105389902,0.0699387768239793,0.133613525512305,0.257915459272147,0.312014783494503,0.370205730899758,0.462146182528294,0.536596091529325
"77",476,0.345492018914868,0.451344319676919,0.179188,0.0808754859542679,69.0984037829736,-0.000102443735865583,0.00708692266306479,0.0123419510791336,0.027192970427781,0.0333376030138273,0.0432928415553281,0.0546723200818218,0.0670787086618176,0.133482105714807,0.25649155237653,0.315191058136672,0.364447064807315,0.460151176267955,0.538413816895509
"78",477,0.344070781073451,0.452823772922264,0.181191,0.0820475922395579,68.8141562146902,0.000445275121742225,0.00732728460523871,0.0140159763521324,0.0270043135717428,0.0348226845114132,0.0395598388170668,0.0544484535624896,0.0686786296661641,0.133601927383563,0.255383054261187,0.31079334374072,0.364984443198948,0.460068285047643,0.526658639503918
"79",478,0.342589173559298,0.454371231718161,0.183194,0.0832380834233767,68.5178347118595,-0.000578573250521555,0.00574282087976345,0.013492152257349,0.0271614176736128,0.034300883515008,0.0395652770354539,0.0544975155388609,0.0666524044181981,0.133305995079923,0.255887329205287,0.305965140945545,0.361132911360943,0.451525055066122,0.530245752802952
"80",479,0.341049402691777,0.45598504292325,0.185197,0.0844470619942572,68.2098805383555,9.55503831986023e-05,0.00587240535820145,0.0131796010724966,0.0271618852142369,0.0327943627128317,0.0409079349993733,0.0535794489040651,0.0671676087303005,0.130178313664921,0.252612768109392,0.307602036530393,0.357078515510254,0.452471999098236,0.528417174516782
"81",480,0.339453697130729,0.457663526675566,0.1872,0.085674612193666,67.8907394261457,-0.000853386727831643,0.00693473581395025,0.014422485244321,0.0270977103277942,0.0335033437258507,0.0395655163575415,0.051890151671446,0.0688879173964659,0.129187783278147,0.249608446588683,0.306299949821964,0.363948800526563,0.453806944456113,0.528178358010114
"82",481,0.33780430371241,0.459404977465041,0.189302,0.0869662810440873,67.560860742482,-0.000512821121778883,0.00623347325404197,0.0150994474037873,0.0288689624767402,0.0333653520764897,0.0426861195425615,0.052633988797188,0.0668117154276157,0.128088046488469,0.248467912312316,0.303189961420754,0.357887621581882,0.447448592105376,0.520348244708596
